Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder capacity of engine (c.c.),Body Type,Permitted Gross Vehicle Weight,Number of passenger seats,Year Of Manufacture,Month,Registration Year
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER AUTO DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,17,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,17,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER AUTO DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,17,2018,7,2018
Public Light Bus,TOYOTA,COASTER AUTO DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER MANUAL DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2017,7,2018
Public Light Bus,TOYOTA,COASTER AUTO DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER MANUAL DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2017,7,2018
Public Light Bus,TOYOTA,COASTER MANUAL DIESEL LWB,Diesel,4009,LIGHT BUS,5.29,19,2017,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
Public Light Bus,TOYOTA,COASTER LPG LWB,LPG,4104,LIGHT BUS,5.29,19,2018,7,2018
